,Image,x1,y1,x2,y2
0,w_7812.jpg,1672,1464,1513,225
1,w_4598.jpg,1686,1160,343,1567
2,w_3828.jpg,2292,1505,1005,922
3,w_8734.jpg,1692,1281,1555,602
4,w_3251.jpg,1646,1140,1547,40
5,w_8063.jpg,1838,1562,1482,611
6,w_5624.jpg,2197,1896,1298,917
7,w_825.jpg,1984,997,1128,1428
8,w_3974.jpg,3352,20,1725,1504
9,w_3049.jpg,2164,672,1004,813
10,w_6660.jpg,5246,2973,2158,993
11,w_3909.jpg,1954,1181,603,746
12,w_2632.jpg,4209,1585,1822,1297
13,w_7754.jpg,1279,1660,1180,628
14,w_1681.jpg,2110,1560,1546,823
15,w_4130.jpg,2138,1656,1760,837
16,w_1194.jpg,2155,1235,1134,816
17,w_5390.jpg,2890,1872,1604,1094
18,w_8923.jpg,1893,1166,736,476
19,w_8790.jpg,1300,1872,1236,925
20,w_4522.jpg,2881,1254,1468,2758
21,w_6695.jpg,1497,1173,399,1063
22,w_1052.jpg,1554,641,784,39
23,w_7212.jpg,1938,686,908,1299
24,w_735.jpg,2119,1745,1376,1134
25,w_3805.jpg,2872,464,1206,1651
26,w_707.jpg,2291,201,1405,1318
27,w_9271.jpg,1704,1097,1350,1452
28,w_7097.jpg,1742,944,825,1246
29,w_3779.jpg,2864,1415,1877,2629
30,w_5312.jpg,1255,292,861,1748
31,w_6038.jpg,3988,827,2116,1743
32,w_5859.jpg,3120,2322,2494,668
33,w_6731.jpg,2782,940,2764,1680
34,w_4144.jpg,1815,1175,1357,1850
35,w_4817.jpg,1822,981,1128,1607
36,w_2319.jpg,2279,963,1527,2027
37,w_446.jpg,1954,342,1233,1134
38,w_8673.jpg,2132,262,722,796
39,w_5770.jpg,2987,1314,1435,693
40,w_133.jpg,1563,1094,1395,142
41,w_3003.jpg,2048,2118,1082,859
42,w_5033.jpg,3269,1690,1267,1452
43,w_6015.jpg,1401,898,628,664
44,w_6511.jpg,1167,654,1121,1946
45,w_2935.jpg,1909,1019,910,1178
46,w_4664.jpg,2414,1190,1151,1487
47,w_5938.jpg,1408,1025,998,13
48,w_8430.jpg,1706,1283,961,1655
49,w_9105.jpg,1951,433,1079,1403
